ID_EMPLOYEE,Tenure Range,GENDER,EMPLOYEE_TYPE,ENGAGEMENT_SCORE,AGE RANGE
92,0-2 years,M,Permanent,0.72,23-26
93,0-2 years,F,Permanent,0.58,23-26
94,0-2 years,M,Permanent,0.76,23-26
95,0-2 years,F,Permanent,0.8,23-26
96,'+5 years,M,Permanent,0.78,30-35
97,0-2 years,M,Non Permanent,0.76,23-26
98,0-2 years,M,Permanent,0.8300000000000001,30-35
99,0-2 years,F,Permanent,0.79,23-26
100,0-2 years,M,Permanent,0.5,26-30
101,0-2 years,M,Permanent,0.55,23-26
102,0-2 years,M,Non Permanent,0.7000000000000001,23-26
103,0-2 years,F,Permanent,0.53,26-30
104,0-2 years,M,Permanent,0.45,23-26
105,0-2 years,F,Permanent,0.41000000000000003,23-26
106,0-2 years,M,Non Permanent,0.8300000000000001,23-26
107,0-2 years,M,Permanent,0.28,23-26
108,0-2 years,F,Permanent,0.72,23-26
109,0-2 years,M,Non Permanent,0.45,23-26
110,0-2 years,M,Permanent,0.45,23-26
111,2-5 years,M,Permanent,0.6900000000000001,23-26
112,0-2 years,M,Permanent,0.8300000000000001,23-26
113,2-5 years,M,Permanent,0.76,23-26
114,0-2 years,F,Permanent,0.42,26-30
115,0-2 years,F,Permanent,0.38,30-35
116,0-2 years,M,Permanent,0.68,23-26
117,0-2 years,F,Permanent,0.63,23-26
118,0-2 years,F,Permanent,0.78,23-26
119,'+5 years,F,Permanent,0.76,23-26
120,0-2 years,M,Permanent,0.64,23-26
121,0-2 years,F,Permanent,0.91,23-26
122,'+5 years,M,Permanent,0.59,23-26
123,0-2 years,F,Permanent,0.8300000000000001,23-26
124,2-5 years,M,Permanent,0.64,23-26
125,0-2 years,M,Non Permanent,0.56,23-26
126,0-2 years,F,Permanent,0.91,23-26
127,0-2 years,M,Non Permanent,0.39,23-26
128,0-2 years,F,Permanent,0.62,23-26
129,2-5 years,F,Permanent,0.53,23-26
130,0-2 years,F,Permanent,0.74,23-26
131,2-5 years,M,Permanent,0.53,23-26
132,2-5 years,F,Permanent,0.91,23-26
133,0-2 years,M,Permanent,0.41000000000000003,23-26
134,'+5 years,F,Permanent,0.74,30-35
135,0-2 years,M,Non Permanent,0.91,23-26
136,0-2 years,M,Permanent,0.63,26-30
137,0-2 years,M,Permanent,0.49,26-30
138,'+5 years,M,Permanent,0.7000000000000001,30-35
139,0-2 years,M,Permanent,0.8300000000000001,23-26
140,0-2 years,M,Permanent,0.65,23-26
142,0-2 years,M,Non Permanent,0.91,23-26
143,0-2 years,M,Permanent,0.64,30-35
144,'+5 years,M,Permanent,0.35000000000000003,30-35
145,2-5 years,F,Permanent,0.5,23-26
146,0-2 years,M,Permanent,0.91,23-26
147,2-5 years,F,Permanent,0.3,23-26
148,0-2 years,M,Non Permanent,0.74,23-26
149,0-2 years,M,Permanent,0.91,26-30
150,0-2 years,M,Permanent,0.6900000000000001,23-26
151,0-2 years,M,Non Permanent,0.36,26-30
152,0-2 years,M,Permanent,0.74,26-30
153,0-2 years,M,Permanent,0.6,26-30
154,0-2 years,M,Permanent,0.8300000000000001,23-26
155,0-2 years,M,Permanent,0.71,23-26
156,0-2 years,M,Permanent,0.5,30-35
158,2-5 years,M,Permanent,0.61,26-30
159,2-5 years,M,Permanent,0.61,23-26
160,0-2 years,F,Permanent,0.72,23-26
161,0-2 years,M,Permanent,0.76,23-26
162,0-2 years,M,Permanent,0.54,23-26
163,0-2 years,M,Permanent,0.45,23-26
164,0-2 years,M,Permanent,0.47000000000000003,23-26
165,'+5 years,M,Permanent,0.76,23-26
166,0-2 years,M,Permanent,0.5700000000000001,23-26
167,0-2 years,F,Permanent,0.33,23-26
168,0-2 years,M,Permanent,0.55,30-35
169,0-2 years,M,Non Permanent,0.8300000000000001,26-30
170,0-2 years,F,Permanent,0.74,23-26
171,0-2 years,M,Permanent,0.66,23-26
172,2-5 years,M,Permanent,0.59,30-35
173,'+5 years,F,Permanent,0.72,26-30
174,'+5 years,M,Permanent,0.76,26-30
175,0-2 years,M,Permanent,0.72,23-26
176,0-2 years,M,Permanent,0.61,23-26
177,2-5 years,F,Permanent,0.67,23-26
178,0-2 years,F,Permanent,0.28,23-26
179,0-2 years,F,Permanent,0.76,23-26
180,0-2 years,M,Non Permanent,0.61,23-26
181,0-2 years,F,Permanent,0.76,23-26
182,0-2 years,M,Permanent,0.75,23-26
183,0-2 years,M,Permanent,0.58,26-30
184,0-2 years,F,Permanent,0.58,23-26
185,0-2 years,F,Permanent,0.8,30-35
186,0-2 years,M,Permanent,0.72,26-30
187,2-5 years,F,Permanent,0.76,23-26
188,0-2 years,F,Permanent,0.71,23-26
189,2-5 years,F,Permanent,0.5700000000000001,23-26
190,0-2 years,M,Permanent,0.6,23-26
191,0-2 years,M,Permanent,0.8,26-30
192,2-5 years,M,Permanent,0.71,23-26
193,0-2 years,M,Non Permanent,0.77,23-26
194,0-2 years,M,Permanent,0.6900000000000001,23-26
195,2-5 years,F,Permanent,0.8300000000000001,23-26
196,0-2 years,M,Non Permanent,0.8300000000000001,23-26
197,2-5 years,M,Permanent,0.72,26-30
198,2-5 years,M,Permanent,0.73,26-30
199,0-2 years,F,Permanent,0.91,23-26
200,0-2 years,M,Permanent,0.78,23-26
201,0-2 years,M,Permanent,0.76,23-26
202,2-5 years,M,Permanent,0.66,26-30
203,2-5 years,M,Permanent,0.76,23-26
204,0-2 years,F,Permanent,0.66,23-26
205,0-2 years,M,Permanent,0.71,23-26
206,0-2 years,M,Permanent,0.72,23-26
207,2-5 years,M,Permanent,0.41000000000000003,23-26
208,0-2 years,F,Permanent,0.72,23-26
209,0-2 years,M,Non Permanent,0.76,23-26
210,0-2 years,F,Permanent,0.72,30-35
211,0-2 years,M,Permanent,0.72,26-30
212,2-5 years,M,Permanent,0.47000000000000003,26-30
213,2-5 years,M,Permanent,0.59,26-30
214,2-5 years,F,Permanent,0.7000000000000001,23-26
215,0-2 years,M,Non Permanent,0.72,23-26
216,0-2 years,M,Permanent,0.76,23-26
217,0-2 years,M,Permanent,0.41000000000000003,23-26
218,0-2 years,M,Non Permanent,0.74,26-30
219,0-2 years,M,Permanent,0.76,23-26
220,0-2 years,M,Permanent,0.62,23-26
221,0-2 years,M,Permanent,0.72,30-35
222,2-5 years,F,Permanent,0.76,23-26
223,0-2 years,M,Permanent,0.76,30-35
224,0-2 years,M,Permanent,0.64,23-26
225,0-2 years,F,Permanent,0.66,30-35
226,2-5 years,M,Permanent,0.78,23-26
227,0-2 years,F,Permanent,0.76,23-26
228,2-5 years,M,Permanent,0.8300000000000001,23-26
229,'+5 years,M,Permanent,0.63,23-26
230,0-2 years,M,Permanent,0.6900000000000001,23-26
231,0-2 years,M,Permanent,0.75,30-35
232,0-2 years,F,Permanent,0.34,26-30
233,0-2 years,M,Permanent,0.71,23-26
234,'+5 years,F,Permanent,0.91,23-26
235,2-5 years,M,Permanent,0.91,30-35
236,0-2 years,M,Non Permanent,0.66,26-30
237,0-2 years,M,Permanent,0.52,23-26
238,'+5 years,F,Permanent,0.91,23-26
239,'+5 years,F,Permanent,0.8300000000000001,23-26
240,2-5 years,F,Permanent,0.8300000000000001,26-30
241,0-2 years,M,Non Permanent,0.58,23-26
242,0-2 years,M,Permanent,0.68,23-26
243,0-2 years,M,Permanent,0.64,23-26
244,0-2 years,M,Non Permanent,0.55,23-26
246,0-2 years,M,Permanent,0.6,23-26
247,0-2 years,M,Non Permanent,0.79,23-26
248,0-2 years,M,Non Permanent,0.45,26-30
249,0-2 years,M,Non Permanent,0.77,23-26
250,0-2 years,F,Permanent,0.42,26-30
251,0-2 years,M,Non Permanent,0.8,26-30
252,2-5 years,F,Permanent,0.59,23-26
253,0-2 years,M,Permanent,0.91,23-26
254,'+5 years,M,Permanent,0.8300000000000001,23-26
255,2-5 years,F,Permanent,0.67,23-26
256,0-2 years,M,Non Permanent,0.6900000000000001,26-30
257,0-2 years,M,Permanent,0.68,23-26
258,'+5 years,M,Permanent,0.6900000000000001,26-30
259,0-2 years,F,Permanent,0.79,23-26
260,0-2 years,M,Permanent,0.91,23-26
261,0-2 years,F,Permanent,0.79,23-26
262,0-2 years,M,Non Permanent,0.6900000000000001,23-26
263,0-2 years,F,Non Permanent,0.72,23-26
264,0-2 years,M,Permanent,0.6900000000000001,23-26
265,0-2 years,F,Non Permanent,0.55,26-30
266,0-2 years,F,Permanent,0.6,23-26
267,0-2 years,F,Permanent,0.58,23-26
268,0-2 years,M,Non Permanent,0.44,23-26
269,0-2 years,M,Permanent,0.5700000000000001,30-35
270,0-2 years,F,Permanent,0.91,23-26
271,0-2 years,M,Permanent,0.43,23-26
272,0-2 years,M,Permanent,0.77,23-26
273,'+5 years,M,Permanent,0.66,23-26
274,0-2 years,M,Permanent,0.45,23-26
275,'+5 years,M,Permanent,0.6900000000000001,23-26
276,2-5 years,F,Permanent,0.59,26-30
277,2-5 years,M,Permanent,0.29,23-26
278,0-2 years,F,Permanent,0.8300000000000001,23-26
279,0-2 years,M,Permanent,0.29,23-26
280,'+5 years,M,Permanent,0.66,30-35
281,0-2 years,M,Non Permanent,0.91,26-30
282,0-2 years,M,Non Permanent,0.78,23-26
283,'+5 years,M,Permanent,0.91,23-26
284,0-2 years,M,Permanent,0.91,30-35
285,0-2 years,M,Non Permanent,0.52,23-26
286,2-5 years,F,Permanent,0.91,23-26
287,0-2 years,M,Non Permanent,0.8300000000000001,23-26
288,0-2 years,M,Non Permanent,0.74,26-30
289,0-2 years,M,Permanent,0.91,23-26
290,0-2 years,M,Permanent,0.91,23-26
291,0-2 years,M,Non Permanent,0.8300000000000001,23-26
292,0-2 years,M,Permanent,0.63,23-26
293,0-2 years,F,Non Permanent,0.71,23-26
294,0-2 years,M,Permanent,0.91,23-26
295,0-2 years,M,Permanent,0.8300000000000001,23-26
296,0-2 years,M,Permanent,0.45,30-35
297,0-2 years,F,Permanent,0.78,23-26
298,0-2 years,M,Permanent,0.6900000000000001,23-26
299,2-5 years,F,Permanent,0.91,23-26
300,0-2 years,F,Permanent,0.72,23-26
301,2-5 years,M,Permanent,0.43,23-26
302,0-2 years,M,Permanent,0.68,23-26
303,0-2 years,F,Permanent,0.28,23-26
304,0-2 years,M,Permanent,0.6900000000000001,23-26
305,0-2 years,M,Permanent,0.65,23-26
306,0-2 years,M,Permanent,0.55,23-26
307,0-2 years,M,Permanent,0.72,26-30
308,2-5 years,M,Permanent,0.53,23-26
309,0-2 years,M,Permanent,0.6900000000000001,23-26
310,0-2 years,F,Permanent,0.45,26-30
311,0-2 years,F,Permanent,0.41000000000000003,26-30
312,0-2 years,M,Non Permanent,0.47000000000000003,23-26
313,0-2 years,M,Non Permanent,0.45,23-26
314,0-2 years,F,Permanent,0.6,23-26
315,'+5 years,M,Permanent,0.6,26-30
316,0-2 years,M,Non Permanent,0.78,23-26
317,2-5 years,M,Permanent,0.64,23-26
318,0-2 years,F,Permanent,0.54,23-26
319,0-2 years,M,Permanent,0.5700000000000001,23-26
320,0-2 years,M,Permanent,0.45,23-26
321,2-5 years,M,Permanent,0.45,23-26
322,0-2 years,F,Permanent,0.45,23-26
323,0-2 years,M,Permanent,0.59,23-26
324,0-2 years,F,Permanent,0.28,23-26
325,0-2 years,M,Permanent,0.47000000000000003,23-26
326,0-2 years,F,Permanent,0.78,23-26
328,'+5 years,M,Permanent,0.55,23-26
329,0-2 years,F,Permanent,0.77,23-26
330,0-2 years,F,Permanent,0.45,23-26
331,2-5 years,F,Permanent,0.41000000000000003,23-26
332,0-2 years,F,Permanent,0.77,23-26
333,0-2 years,F,Permanent,0.46,23-26
334,0-2 years,F,Permanent,0.74,23-26
335,0-2 years,F,Permanent,0.8300000000000001,23-26
336,0-2 years,F,Permanent,0.78,23-26
337,'+5 years,F,Permanent,0.76,23-26
338,0-2 years,M,Non Permanent,0.74,23-26
339,0-2 years,M,Non Permanent,0.5,23-26
340,2-5 years,M,Permanent,0.77,26-30
341,0-2 years,M,Permanent,0.77,23-26
342,0-2 years,M,Permanent,0.6900000000000001,23-26
343,0-2 years,F,Permanent,0.77,26-30
344,0-2 years,M,Permanent,0.51,23-26
345,0-2 years,M,Non Permanent,0.68,23-26
346,0-2 years,M,Non Permanent,0.58,23-26
347,0-2 years,M,Permanent,0.8300000000000001,26-30
348,0-2 years,F,Permanent,0.63,26-30
349,'+5 years,M,Permanent,0.62,30-35
350,'+5 years,M,Permanent,0.75,23-26
351,0-2 years,F,Permanent,0.66,23-26
352,0-2 years,F,Permanent,0.51,23-26
353,0-2 years,F,Permanent,0.76,26-30
354,0-2 years,M,Permanent,0.46,23-26
356,'+5 years,M,Permanent,0.28,23-26
357,0-2 years,F,Permanent,0.53,23-26
358,0-2 years,F,Permanent,0.35000000000000003,26-30
359,2-5 years,F,Permanent,0.61,23-26
360,0-2 years,F,Permanent,0.76,26-30
361,0-2 years,M,Permanent,0.76,23-26
362,0-2 years,M,Permanent,0.51,23-26
363,2-5 years,M,Permanent,0.68,23-26
364,0-2 years,F,Permanent,0.68,23-26
365,0-2 years,F,Non Permanent,0.91,23-26
366,0-2 years,M,Non Permanent,0.91,23-26
367,2-5 years,F,Permanent,0.65,30-35
368,0-2 years,M,Non Permanent,0.75,23-26
369,0-2 years,M,Permanent,0.8300000000000001,23-26
370,0-2 years,F,Permanent,0.41000000000000003,23-26
371,0-2 years,M,Non Permanent,0.58,23-26
372,0-2 years,M,Permanent,0.8300000000000001,30-35
373,2-5 years,M,Permanent,0.6,26-30
374,0-2 years,M,Non Permanent,0.8300000000000001,23-26
375,0-2 years,M,Permanent,0.47000000000000003,23-26
376,'+5 years,M,Permanent,0.39,23-26
377,0-2 years,M,Non Permanent,0.59,23-26
378,0-2 years,F,Permanent,0.55,23-26
379,'+5 years,M,Permanent,0.77,23-26
380,0-2 years,F,Permanent,0.79,23-26
381,0-2 years,M,Permanent,0.51,23-26
382,0-2 years,M,Non Permanent,0.51,23-26
383,0-2 years,M,Non Permanent,0.34,23-26
384,0-2 years,M,Permanent,0.8300000000000001,23-26
386,0-2 years,M,Permanent,0.68,23-26
387,0-2 years,M,Non Permanent,0.66,23-26
388,0-2 years,M,Permanent,0.68,23-26
389,0-2 years,F,Permanent,0.58,23-26
390,0-2 years,M,Non Permanent,0.55,23-26
391,0-2 years,F,Permanent,0.74,26-30
392,0-2 years,F,Permanent,0.91,26-30
393,'+5 years,F,Permanent,0.91,23-26
394,0-2 years,F,Permanent,0.79,23-26
395,2-5 years,F,Permanent,0.73,30-35
396,0-2 years,M,Permanent,0.56,23-26
397,'+5 years,F,Permanent,0.46,23-26
398,'+5 years,F,Permanent,0.53,23-26
399,0-2 years,M,Permanent,0.68,26-30
400,0-2 years,M,Permanent,0.47000000000000003,23-26
401,2-5 years,M,Permanent,0.55,30-35
402,2-5 years,F,Permanent,0.66,26-30
403,0-2 years,F,Permanent,0.28,23-26
404,0-2 years,F,Permanent,0.76,23-26
405,'+5 years,F,Permanent,0.6900000000000001,23-26
406,0-2 years,M,Permanent,0.66,30-35
407,0-2 years,M,Permanent,0.8300000000000001,26-30
408,'+5 years,M,Permanent,0.8300000000000001,30-35
409,0-2 years,M,Non Permanent,0.65,23-26
410,0-2 years,M,Non Permanent,0.3,23-26
411,0-2 years,M,Permanent,0.66,23-26
412,0-2 years,F,Permanent,0.76,23-26
413,0-2 years,F,Permanent,0.8300000000000001,23-26
414,0-2 years,M,Permanent,0.76,23-26
415,0-2 years,M,Non Permanent,0.77,23-26
416,2-5 years,M,Permanent,0.8300000000000001,26-30
417,2-5 years,F,Permanent,0.76,23-26
418,2-5 years,M,Permanent,0.76,23-26
419,0-2 years,M,Permanent,0.3,23-26
420,2-5 years,M,Permanent,0.74,23-26
421,0-2 years,M,Permanent,0.68,23-26
422,2-5 years,M,Permanent,0.71,23-26
423,'+5 years,M,Permanent,0.45,23-26
424,0-2 years,F,Permanent,0.76,23-26
425,0-2 years,F,Permanent,0.76,23-26
426,0-2 years,M,Non Permanent,0.46,23-26
427,0-2 years,M,Non Permanent,0.79,23-26
428,'+5 years,M,Permanent,0.5700000000000001,23-26
429,0-2 years,F,Permanent,0.67,23-26
430,0-2 years,F,Permanent,0.5700000000000001,23-26
431,2-5 years,M,Permanent,0.91,30-35
432,0-2 years,M,Permanent,0.91,23-26
433,0-2 years,F,Permanent,0.39,23-26
434,2-5 years,F,Permanent,0.38,23-26
435,0-2 years,M,Permanent,0.56,23-26
436,2-5 years,M,Permanent,0.59,23-26
437,0-2 years,M,Permanent,0.78,23-26
438,0-2 years,M,Permanent,0.91,26-30
439,0-2 years,M,Permanent,0.47000000000000003,23-26
440,'+5 years,M,Permanent,0.58,23-26
441,0-2 years,M,Non Permanent,0.34,23-26
442,2-5 years,M,Permanent,0.59,30-35
443,0-2 years,M,Non Permanent,0.45,23-26
444,2-5 years,F,Permanent,0.78,26-30
445,0-2 years,M,Permanent,0.8300000000000001,23-26
446,0-2 years,M,Non Permanent,0.6900000000000001,23-26
447,2-5 years,F,Permanent,0.45,23-26
449,0-2 years,M,Non Permanent,0.66,23-26
450,0-2 years,M,Permanent,0.6900000000000001,23-26
451,2-5 years,M,Permanent,0.6,23-26
452,0-2 years,F,Permanent,0.77,23-26
453,0-2 years,M,Permanent,0.41000000000000003,23-26
454,0-2 years,F,Permanent,0.76,23-26
455,2-5 years,M,Permanent,0.76,23-26
456,0-2 years,M,Non Permanent,0.59,23-26
457,0-2 years,M,Permanent,0.59,23-26
458,0-2 years,F,Permanent,0.78,23-26
459,2-5 years,M,Permanent,0.44,30-35
460,0-2 years,F,Permanent,0.76,23-26
461,2-5 years,F,Permanent,0.8,30-35
462,0-2 years,M,Permanent,0.61,23-26
463,0-2 years,M,Permanent,0.59,26-30
464,'+5 years,M,Permanent,0.8300000000000001,30-35
465,0-2 years,M,Permanent,0.78,23-26
466,0-2 years,M,Non Permanent,0.91,23-26
467,0-2 years,M,Permanent,0.72,23-26
468,2-5 years,M,Permanent,0.91,26-30
469,0-2 years,M,Non Permanent,0.91,23-26
470,0-2 years,M,Non Permanent,0.78,23-26
471,0-2 years,M,Permanent,0.28,23-26
472,2-5 years,F,Permanent,0.72,26-30
473,2-5 years,F,Permanent,0.29,23-26
474,'+5 years,M,Permanent,0.56,23-26
475,0-2 years,M,Permanent,0.55,26-30
476,0-2 years,M,Non Permanent,0.64,23-26
477,0-2 years,F,Permanent,0.29,23-26
478,0-2 years,M,Permanent,0.55,23-26
479,2-5 years,M,Permanent,0.4,26-30
480,0-2 years,M,Permanent,0.29,23-26
481,0-2 years,M,Permanent,0.63,23-26
482,0-2 years,F,Permanent,0.72,23-26
483,0-2 years,M,Non Permanent,0.63,26-30
484,0-2 years,F,Permanent,0.66,23-26
485,0-2 years,M,Permanent,0.6900000000000001,23-26
486,0-2 years,F,Permanent,0.59,23-26
487,0-2 years,M,Permanent,0.74,23-26
488,0-2 years,M,Non Permanent,0.74,23-26
489,0-2 years,F,Permanent,0.91,23-26
490,0-2 years,F,Permanent,0.8300000000000001,23-26
491,0-2 years,M,Permanent,0.6900000000000001,23-26
492,'+5 years,M,Permanent,0.77,23-26
493,'+5 years,M,Permanent,0.76,23-26
494,0-2 years,F,Permanent,0.8300000000000001,23-26
495,0-2 years,M,Permanent,0.43,23-26
496,'+5 years,M,Permanent,0.49,26-30
497,'+5 years,M,Permanent,0.77,26-30
498,0-2 years,M,Non Permanent,0.76,26-30
499,0-2 years,F,Permanent,0.76,23-26
500,0-2 years,M,Permanent,0.33,23-26
501,0-2 years,F,Permanent,0.66,23-26
502,0-2 years,M,Permanent,0.66,26-30
503,0-2 years,F,Permanent,0.76,23-26
504,0-2 years,M,Permanent,0.78,30-35
505,0-2 years,F,Permanent,0.52,23-26
506,'+5 years,M,Permanent,0.75,26-30
507,2-5 years,F,Permanent,0.6,23-26
508,0-2 years,F,Permanent,0.76,30-35
509,0-2 years,M,Permanent,0.77,26-30
510,0-2 years,F,Permanent,0.6900000000000001,23-26
511,0-2 years,M,Permanent,0.68,26-30
512,2-5 years,F,Permanent,0.53,23-26
513,0-2 years,M,Non Permanent,0.71,23-26
514,0-2 years,F,Permanent,0.74,23-26
515,0-2 years,F,Permanent,0.76,23-26
516,0-2 years,M,Non Permanent,0.5,23-26
517,0-2 years,M,Permanent,0.5700000000000001,23-26
518,0-2 years,M,Non Permanent,0.74,26-30
519,0-2 years,M,Permanent,0.6,23-26
520,0-2 years,M,Permanent,0.72,23-26
521,0-2 years,M,Permanent,0.66,23-26
522,0-2 years,M,Permanent,0.6,26-30
523,0-2 years,F,Permanent,0.41000000000000003,23-26
524,0-2 years,F,Permanent,0.66,26-30
525,0-2 years,M,Permanent,0.76,26-30
527,0-2 years,M,Permanent,0.6900000000000001,23-26
528,0-2 years,M,Non Permanent,0.55,23-26
529,0-2 years,M,Non Permanent,0.62,23-26
530,0-2 years,M,Permanent,0.76,23-26
531,0-2 years,M,Non Permanent,0.72,23-26
532,0-2 years,M,Permanent,0.66,23-26
533,0-2 years,F,Permanent,0.34,23-26
534,'+5 years,F,Permanent,0.58,26-30
535,0-2 years,M,Non Permanent,0.51,26-30
536,0-2 years,F,Permanent,0.79,26-30
537,0-2 years,F,Permanent,0.8300000000000001,23-26
538,0-2 years,M,Permanent,0.91,23-26
539,2-5 years,M,Permanent,0.28,23-26
540,0-2 years,F,Permanent,0.91,23-26
541,0-2 years,M,Permanent,0.6,23-26
542,0-2 years,M,Permanent,0.6,23-26
543,2-5 years,M,Permanent,0.52,23-26
544,0-2 years,F,Permanent,0.6,23-26
545,0-2 years,M,Permanent,0.6,26-30
546,0-2 years,F,Permanent,0.66,26-30
547,2-5 years,M,Permanent,0.64,23-26
548,0-2 years,M,Permanent,0.66,26-30
549,0-2 years,F,Permanent,0.65,23-26
550,'+5 years,M,Permanent,0.47000000000000003,23-26
551,0-2 years,F,Permanent,0.6,23-26
552,2-5 years,F,Permanent,0.28,23-26
553,0-2 years,M,Permanent,0.5700000000000001,23-26
554,0-2 years,F,Permanent,0.6,23-26
555,2-5 years,M,Permanent,0.43,23-26
556,2-5 years,F,Permanent,0.6,26-30
557,0-2 years,M,Permanent,0.53,23-26
558,0-2 years,M,Permanent,0.6,26-30
559,0-2 years,M,Permanent,0.59,23-26
560,0-2 years,M,Permanent,0.78,26-30
561,0-2 years,M,Permanent,0.72,23-26
562,0-2 years,M,Permanent,0.91,23-26
563,0-2 years,F,Permanent,0.91,23-26
564,0-2 years,M,Permanent,0.6900000000000001,23-26
565,0-2 years,F,Permanent,0.7000000000000001,23-26
566,0-2 years,M,Permanent,0.78,23-26
567,0-2 years,F,Permanent,0.91,23-26
568,2-5 years,F,Permanent,0.61,30-35
569,0-2 years,M,Permanent,0.91,23-26
570,0-2 years,M,Permanent,0.47000000000000003,23-26
571,0-2 years,F,Permanent,0.65,26-30
572,0-2 years,M,Permanent,0.41000000000000003,30-35
573,0-2 years,F,Permanent,0.53,23-26
574,0-2 years,F,Permanent,0.76,23-26
575,0-2 years,M,Permanent,0.66,30-35
576,2-5 years,F,Permanent,0.66,23-26
577,0-2 years,F,Permanent,0.62,26-30
578,0-2 years,F,Permanent,0.76,23-26
579,0-2 years,M,Permanent,0.6,26-30
580,0-2 years,M,Permanent,0.48,23-26
581,'+5 years,F,Permanent,0.76,26-30
582,0-2 years,M,Permanent,0.58,23-26
